Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S51066445,Cackling Goose,Branta hutchinsii,292,200,US-OR,Columbia,L831977,Sauvie Island--Reeder Rd. Observation Shelter,45.73246,-122.7739978,2018-12-29,12:05 PM,eBird - Stationary Count,21,1,,,3
S51066444,Cackling Goose,Branta hutchinsii,292,2,US-OR,Columbia,L279044,Sauvie Island--Rentenaar Rd.,45.7574596,-122.776551,2018-12-29,12:40 PM,eBird - Traveling Count,39,1,1.608,,3
S62966276,Cackling Goose,Branta hutchinsii,292,4,US-OR,Lane,L487048,Fern Ridge WMA--Royal Ave. area (general),44.0705825,-123.2574606,2020-01-03,11:17 AM,eBird - Traveling Count,36,1,1.521,,2
S79195384,Cackling Goose,Branta hutchinsii,292,20,US-CO,Larimer,L13263807,"4818–5064 N Wilson Ave, Loveland US-CO 40.44326, -105.11548",40.443259,-105.11548,2021-01-13,03:30 PM,eBird - Casual Observation,,0,,,1
S79229989,Cackling Goose,Branta hutchinsii,292,50,US-CO,Larimer,L328286,Ft. Collins City Park and Sheldon Lake,40.5827044,-105.1037522,2021-01-14,10:50 AM,eBird - Traveling Count,22,1,1.617,,1
S79246372,Cackling Goose,Branta hutchinsii,292,60,US-CO,Larimer,L299848,Grandview Cemetery,40.5875,-105.11222,2021-01-14,04:12 PM,eBird - Traveling Count,5,1,.702,,1,,Flyovers
S79273732,Cackling Goose,Branta hutchinsii,292,50,US-CO,Larimer,L2364413,Spring Canyon Community Park,40.5412649,-105.1267147,2021-01-15,09:10 AM,eBird - Traveling Count,46,1,4.144,,1
S43893570,Cackling Goose,Branta hutchinsii,292,20,US-OR,Linn,L3067371,Eicher Rd. Quarry (no longer accessible; all viewpoints are on private property),44.6147298,-123.015721,2018-03-23,01:57 PM,eBird - Traveling Count,24,1,1.429,,2
S50859888,Cackling Goose,Branta hutchinsii,292,33,US-OR,Marion,L8284139,"1275 Alpine Lakes St SE, Salem US-OR (44.9154,-122.9737)",44.915387,-122.973688,2018-12-21,03:44 PM,eBird - Stationary Count,10,1,,,3
S41526058,Cackling Goose,Branta hutchinsii,292,20,US-OR,Marion,L832651,Ankeny NWR--Eagle Marsh,44.7967032,-123.0813789,2018-01-01,12:10 PM,eBird - Stationary Count,10,1,,,3
S78434918,Cackling Goose,Branta hutchinsii,292,40,US-OR,Marion,L832651,Ankeny NWR--Eagle Marsh,44.7967032,-123.0813789,2021-01-01,03:15 PM,eBird - Stationary Count,7,1,,,2
S43896849,Cackling Goose,Branta hutchinsii,292,30,US-OR,Marion,L861798,Ankeny NWR--Pintail Marsh,44.7759253,-123.0862284,2018-03-23,03:42 PM,eBird - Stationary Count,3,1,,,2
S78433496,Cackling Goose,Branta hutchinsii,292,20,US-OR,Marion,L861798,Ankeny NWR--Pintail Marsh,44.7759253,-123.0862284,2021-01-01,03:05 PM,eBird - Stationary Count,2,1,,,2
S43896847,Cackling Goose,Branta hutchinsii,292,60,US-OR,Marion,L992303,Ankeny NWR--Rail Trail,44.7741583,-123.0824089,2018-03-23,02:58 PM,eBird - Traveling Count,30,1,1.288,,2
S43891716,Cackling Goose,Branta hutchinsii,292,25,US-OR,Marion,L1115413,Cascades Gateway City Park,44.9127602,-122.9909992,2018-03-23,01:08 PM,eBird - Traveling Count,17,1,1.033,,2
S43966217,Cackling Goose,Branta hutchinsii,292,27,US-OR,Marion,L1215512,Fairview Wetlands,44.895153,-123.004434,2018-03-25,05:36 PM,eBird - Traveling Count,73,1,2.881,,2
S41874594,Cackling Goose,Branta hutchinsii,292,15,US-OR,Marion,L672630,Minto-Brown Island Park,44.924703,-123.0618095,2018-01-13,11:19 AM,eBird - Traveling Count,90,1,3.219,,2
S99866717,Cackling Goose,Branta hutchinsii,292,150,US-OR,Marion,L672630,Minto-Brown Island Park,44.924703,-123.0618095,2021-12-31,10:56 AM,eBird - Traveling Count,79,1,3.416,,1
S62597443,Cackling Goose,Branta hutchinsii,292,200,US-OR,Marion,L1308407,Mission Lake,44.917178,-123.0003762,2019-12-24,01:45 PM,eBird - Traveling Count,12,1,1.101,,2
S43548391,Cackling Goose,Branta hutchinsii,292,800,US-OR,Marion,L1019388,Staats Lake,45.0055628,-123.0332708,2018-03-10,01:09 PM,eBird - Stationary Count,3,1,,,2
S78157018,Cackling Goose,Branta hutchinsii,292,1,US-OR,Marion,L2025335,Stone Quarry Lake,44.9136415,-123.0142593,2020-12-28,10:15 AM,eBird - Stationary Count,9,1,,,2
S51066450,Cackling Goose,Branta hutchinsii,292,17,US-OR,Multnomah,L831968,Sauvie Island--Raccoon Point,45.6916122,-122.8055191,2018-12-29,10:49 AM,eBird - Traveling Count,23,1,.241,,3
S51066454,Cackling Goose,Branta hutchinsii,292,100,US-OR,Multnomah,L712035,Wapato Access Greenway SP,45.6597554,-122.8409243,2018-12-29,09:33 AM,eBird - Traveling Count,62,1,2.511,,3
S78163603,Cackling Goose,Branta hutchinsii,292,100,US-OR,Multnomah,L13030031,stakeout Orchard Oriole--43rd and Martins (2020-21),45.4784471,-122.6184803,2020-12-28,11:36 AM,eBird - Stationary Count,27,1,,,2
S41377459,Cackling Goose,Branta hutchinsii,292,4,US-OR,Polk,L6620366,"138 W Ellendale Ave, Dallas US-OR (44.9306,-123.3123)",44.930601,-123.312283,2017-12-27,07:30 AM,eBird - Traveling Count,480,1,16.093,,5,,,Dallas bird count list from an area northwest of Dallas 
S41698797,Cackling Goose,Branta hutchinsii,292,25,US-OR,Polk,L6620825,"1428 Cresthill Ave NW, Salem US-OR (44.9647,-123.0650)",44.964707,-123.065026,2018-01-06,03:00 PM,eBird - Stationary Count,10,1,,,1
